{4268b3b5-acc8-435a-a569-1ff183fd0f99} bank:/Master
{df76f83a-2697-4f27-accb-6663577520a0} event:/SoundFX/Characters/Enemies/DustBunnies/SFX_ENE_dustBunny_hop
{d3feb389-5a60-4c6d-ac54-c4f660b64a06} event:/SoundFX/Characters/Enemies/DustBunnies/SFX_ENE_dustBunny_idleVoice
{3f4aba3b-bf28-4cd2-bdbe-277e3fff8c54} event:/SoundFX/Characters/Enemies/General/SFX_ENE_armoredMonsterHit
{2215a01d-1f9b-4a13-9f6f-ff539e882895} event:/SoundFX/Characters/Enemies/General/SFX_ENE_exposureEffect
{2687c64c-40ba-46d1-b688-12ce0960c05e} event:/SoundFX/Characters/Enemies/General/SFX_ENE_slowEffect
{49e0f8bf-9c5a-427a-9bde-4342e50bbb41} event:/SoundFX/Characters/Enemies/General/SFX_ENE_stunEffect
{abe79a65-e125-44ab-8823-a0d9f25c2d32} event:/SoundFX/Characters/Enemies/Grimelings/SFX_ENE_grimeling_attack_gasWave
{2d84f116-3d6e-4bd1-b124-f5e656450a42} event:/SoundFX/Characters/Enemies/Grimelings/SFX_ENE_grimeling_attack_preparation
{88a3d4cf-1ad1-4466-ae97-b0af4f2a2b91} event:/SoundFX/Characters/Enemies/Grimelings/SFX_ENE_grimeling_deathVoice
{2e3d125b-e0eb-466c-a320-a6e457186201} event:/SoundFX/Characters/Enemies/Grimelings/SFX_ENE_grimeling_idleVoice
{52a81ea9-7404-45df-b64d-3a1c5fa27ac3} event:/SoundFX/Characters/Enemies/Grimelings/SFX_ENE_grimeling_monsterBuffed
{8b966b49-719d-44f1-ba2c-e9ae25577798} event:/SoundFX/Characters/Enemies/Oozers/SFX_ENE_oozer_deathVoice
{506da610-d957-47ba-9f2e-267dd1364af3} event:/SoundFX/Characters/Enemies/Oozers/SFX_ENE_oozer_idleVoice
{a9970e21-02ff-46a4-a75b-ebc9c046cec0} event:/SoundFX/Characters/Enemies/Oozers/SFX_ENE_oozer_mitosis
{22cc3031-a6ef-4d20-9c8c-5a4d5f25c713} event:/SoundFX/Characters/Enemies/Oozers/SFX_ENE_oozer_movement_loop
{87032d34-51c0-4854-a4a0-013dd7eec50e} event:/SoundFX/Characters/Enemies/Oozers/SFX_ENE_oozer_rush
{c567f9ea-3c2f-419e-acc9-812568af957b} event:/SoundFX/Characters/Enemies/Oozers/SFX_ENE_oozer_rushWindUp
{70218117-0896-4cf6-9737-ed647aba850c} event:/SoundFX/CombatTools/CleanStation/SFX_CLS_cleanStationInteract
{3921ba3a-24eb-468b-9a1a-f8c19b03cb1b} event:/SoundFX/CombatTools/Consumables/B13Vitamin/SFX_CONS_B13_buffSexyLoop
{05fd8038-ee5c-4ff4-878b-9a21c6a6e5b0} event:/SoundFX/CombatTools/Consumables/B13Vitamin/SFX_CONS_B13_buff_loop
{fe23a5d4-d2ee-4b24-90db-8440ac02ea68} event:/SoundFX/CombatTools/Consumables/B13Vitamin/SFX_CONS_B13_swallow
{918c0798-766c-446e-b07d-f0733aeed649} event:/SoundFX/CombatTools/Consumables/Clean4/SFX_CONS_C4_bombSetup
{47a9a95b-eec0-4466-8e3b-cae85c37bf21} event:/SoundFX/CombatTools/Consumables/Clean4/SFX_CONS_C4_deploy
{bfc8c9b4-570b-4cba-9ca8-5743a4f90b35} event:/SoundFX/CombatTools/Consumables/Clean4/SFX_CONS_C4_explosion
{a1c268a5-6c38-41b8-b547-02860a4749fb} event:/SoundFX/CombatTools/Consumables/Dogrothy/SFX_CONS_dogrothy_cleanup_loop
{d90d8408-c313-4448-b402-e053ed444777} event:/SoundFX/CombatTools/Consumables/Dogrothy/SFX_CONS_dogrothy_death
{8d7c500d-5a34-4ac7-8a6d-d4d833a54b0a} event:/SoundFX/CombatTools/Consumables/Dogrothy/SFX_CONS_dogrothy_startupMelody
{da9bb161-8ab7-4414-8219-657bb88daf80} event:/SoundFX/CombatTools/Consumables/MrsClean/SFX_CONS_mrsClean_death
{4bfec3bb-38e6-4b8d-add7-2f066c2bf5c2} event:/SoundFX/CombatTools/Consumables/MrsClean/SFX_CONS_mrsClean_deploy
{76a2b311-f9aa-4727-8e46-75a1d371c1cc} event:/SoundFX/CombatTools/Weapons/Dirtminator/SFX_WEA_dirtminator_attack_chargeUp
{90ea08e6-ed2e-42b0-82d1-ff69bf616b62} event:/SoundFX/CombatTools/Weapons/Dirtminator/SFX_WEA_dirtminator_attack_newCharge
{d1b9ed38-c26f-439d-b904-40e70e2fd89f} event:/SoundFX/CombatTools/Weapons/Dirtminator/SFX_WEA_dirtminator_attack_shot
{9a5499e9-f6d1-4da1-9f61-c12616b84566} event:/SoundFX/CombatTools/Weapons/Dirtminator/SFX_WEA_dirtminator_cleanup_loop
{d295ec1a-20ab-4ef7-84b6-fd78c006624e} event:/SoundFX/CombatTools/Weapons/Dirtminator/SFX_WEA_dirtminator_equip
{a667efe1-2b82-4840-93a1-4f9c5e7d1e51} event:/SoundFX/CombatTools/Weapons/Dirtminator/SFX_WEA_dirtminator_projectileExplosion
{a2d71144-636a-408b-9c54-7c13bbac03fc} event:/SoundFX/CombatTools/Weapons/Dirtminator/SFX_WEA_dirtminator_special_laugh
{33ea57cb-d2e3-4833-8641-91ab1c63ad0d} event:/SoundFX/CombatTools/Weapons/Dirtminator/SFX_WEA_dirtminator_special_loop
{9c2da151-0840-4f9d-9f6f-6f5611b6fa0d} event:/SoundFX/CombatTools/Weapons/Dusty/SFX_WEA_dusty_attackHit
{47f8bebe-81d3-4581-a23b-8b5b3e3ea967} event:/SoundFX/CombatTools/Weapons/Dusty/SFX_WEA_dusty_attack_punch
{9e0ac49c-7504-436e-b15e-1f873557243b} event:/SoundFX/CombatTools/Weapons/Dusty/SFX_WEA_dusty_attack_punch_hyah
{810511c0-44f9-42c9-b633-625cc9f5cc9f} event:/SoundFX/CombatTools/Weapons/Dusty/SFX_WEA_dusty_attack_swing
{02f5b13c-99c8-49e7-8b09-d49747ed58ff} event:/SoundFX/CombatTools/Weapons/Dusty/SFX_WEA_dusty_attack_swing_hyah
{eb1c50af-e6c9-4586-9c3f-e09a9ea7bf70} event:/SoundFX/CombatTools/Weapons/Dusty/SFX_WEA_dusty_cleanup_loop
{1d7d9d46-d1a7-4d3c-b651-e77cbc70351d} event:/SoundFX/CombatTools/Weapons/Dusty/SFX_WEA_dusty_criticalCleanup
{fd771eaf-846c-4d21-8100-5002222d60df} event:/SoundFX/CombatTools/Weapons/Dusty/SFX_WEA_dusty_equip
{cd49a2ed-62a0-42cb-94ac-2fe861bb5016} event:/SoundFX/CombatTools/Weapons/Dusty/SFX_WEA_dusty_special_hyah
{8969d64b-8852-4e8c-89f5-d1c3e658a821} event:/SoundFX/CombatTools/Weapons/Dusty/SFX_WEA_dusty_special_loop
{793a7c99-6708-4321-807d-b7f2a08ffe4c} event:/SoundFX/CombatTools/Weapons/Moppressor/SFX_WEA_moppressor_attackHit
{9378ba45-f396-48c2-b51a-899582e1d6fa} event:/SoundFX/CombatTools/Weapons/Moppressor/SFX_WEA_moppressor_attack_smash
{758a2fc4-1254-4bf2-9e55-5fe9546572f9} event:/SoundFX/CombatTools/Weapons/Moppressor/SFX_WEA_moppressor_attack_smash_hyah
{b8f50ccc-a218-4b4a-abb7-1b3801c75054} event:/SoundFX/CombatTools/Weapons/Moppressor/SFX_WEA_moppressor_attack_swoosh
{7df0aff3-a3ea-4507-a463-d9492a8613aa} event:/SoundFX/CombatTools/Weapons/Moppressor/SFX_WEA_moppressor_attack_swoosh_hyah
{09a94389-641d-451e-993e-f46168ae7d1e} event:/SoundFX/CombatTools/Weapons/Moppressor/SFX_WEA_moppressor_cleanup_loop
{5289e2be-a10f-4de7-bb52-bea1f1b9532d} event:/SoundFX/CombatTools/Weapons/Moppressor/SFX_WEA_moppressor_equip
{794a9e23-2a34-4708-9e4d-7463a6ddc529} event:/SoundFX/CombatTools/Weapons/Moppressor/SFX_WEA_moppressor_specialExplosion
{95693859-bf14-404d-8673-25f9f9ef1f0c} event:/SoundFX/CombatTools/Weapons/Moppressor/SFX_WEA_moppressor_special_chargeHyah
{6cbf34b1-558e-4867-a04b-e5cdbe1833cf} event:/SoundFX/CombatTools/Weapons/WasheeFlashee/SFX_WEA_washeeFlashee_attack
{a975ada3-4582-447d-883c-9ebe0b2dc6f4} event:/SoundFX/CombatTools/Weapons/WasheeFlashee/SFX_WEA_washeeFlashee_attackReload
{bbf1d3ad-5536-4f9e-a8ca-1acc1ec1c3b7} event:/SoundFX/CombatTools/Weapons/WasheeFlashee/SFX_WEA_washeeFlashee_bubbleLifetimeLoop
{4efd2bab-fcfb-4c8b-b3a3-c193341d5cdd} event:/SoundFX/CombatTools/Weapons/WasheeFlashee/SFX_WEA_washeeFlashee_cleanup
{21ee9dc4-b96b-433b-8a55-151578f383cd} event:/SoundFX/CombatTools/Weapons/WasheeFlashee/SFX_WEA_washeeFlashee_equip
{cfb9718a-b763-4960-9ace-03ecd6e19951} event:/SoundFX/CombatTools/Weapons/WasheeFlashee/SFX_WEA_washeeFlashee_projectileHit
{ffc0be0c-d97a-457b-b71b-4357e99ecf00} event:/SoundFX/CombatTools/Weapons/WasheeFlashee/SFX_WEA_washeeFlashee_special
{16bc3ac1-0929-4a00-a5b4-723c4d1fbee1} event:/SoundFX/CombatTools/Weapons/WasheeFlashee/SFX_WEA_washeeFlashee_special_hyah
{f71fab0e-9de5-4334-94c5-29b816471bd0} event:/SoundFX/Commands/SFX_AMB_babySilentAssasin
{f68efb3e-5f91-445f-bbd4-f51a9f1d52c6} event:/SoundFX/Commands/SFX_AMB_silentAssasin
{d377ab1e-a9ed-4ff9-b6a2-2fd576d3cdd8} event:/SoundFX/Miscellaneous/Gameplay/SFX_GAM_automaticRoomCleanup
{4e477fc4-154b-4aa6-8064-734d0e6491ca} event:/SoundFX/Miscellaneous/Gameplay/SFX_GAM_monsterDirtyBuff_off
{bbfbc386-e30d-437e-be51-a09fd101d249} event:/SoundFX/Miscellaneous/Gameplay/SFX_GAM_monsterDirtyBuff_on
{8187d793-69d7-4f1b-98b5-07361e9c6e6d} event:/SoundFX/Miscellaneous/Hub/SFX_HUB_chest_close
{75ff5f7e-0720-49cc-b667-d2f2380df5f1} event:/SoundFX/Miscellaneous/Hub/SFX_HUB_chest_open
{006186a8-5ed9-44f3-bd0c-a4e08bbff443} event:/SoundFX/Miscellaneous/Hub/SFX_HUB_door_close
{c26d3915-6f4c-496b-97cf-b893a6766d9d} event:/SoundFX/Miscellaneous/Hub/SFX_HUB_exitDoor_open
{68db2125-3cb3-42d3-904e-316190c4934e} event:/SoundFX/Miscellaneous/Hub/SFX_HUB_exitDoor_startGame
{43249087-f13b-4092-8f93-3294dd796752} event:/SoundFX/Miscellaneous/Hub/SFX_HUB_shop_close
{ec88e57b-6d4c-482b-bed3-4885d4a85bfc} event:/SoundFX/Miscellaneous/Hub/SFX_HUB_shop_open
{e8f39f14-540f-4b2a-82ef-f5308e1fa23b} event:/SoundFX/Miscellaneous/UI/Generic/SFX_UI_acceptButton
{d7557932-e437-47d5-b912-1dc95ac0c3ca} event:/SoundFX/Miscellaneous/UI/Generic/SFX_UI_closePauseMenu
{ffa34b2c-2976-4cff-a5ba-8ebc2b2e93c0} event:/SoundFX/Miscellaneous/UI/Generic/SFX_UI_errorNotAllowed
{832191d2-b0de-42c5-94b9-bdadc8f4555a} event:/SoundFX/Miscellaneous/UI/Generic/SFX_UI_goBackButton
{d75da304-a3ce-4a7d-a785-ffa728f9f3a7} event:/SoundFX/Miscellaneous/UI/Generic/SFX_UI_hover
{9003cc18-5b07-4386-9790-4377493b020f} event:/SoundFX/Miscellaneous/UI/Generic/SFX_UI_newWeaponAcquired
{a5491b39-ed2b-44c0-a675-31774c31d56f} event:/SoundFX/Miscellaneous/UI/Generic/SFX_UI_openPauseMenu
{7467ba62-9518-4d5e-9358-ddbbcf4440cf} event:/SoundFX/Miscellaneous/UI/Generic/SFX_UI_paperWrittenNote
{95b7e32d-6402-4f46-bb84-3eb03cdfdf49} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_HPbubbleDamaged
{ab56e966-d6c1-4a56-b8c1-a66bc417cbaa} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_dorothyDamaged_voice
{0a129be8-7bca-497c-9bba-333e7f4b5b6d} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_dorothyStinkied_voice
{9b8e5564-86c6-4967-a44d-bc784d0f86cf} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_finalCountdown
{f6e7a83a-bb70-44de-94c4-303bf27231ba} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_hurryTickTock
{154d686b-966f-4c3c-80d1-be46bb756153} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_readyGo
{0abedf3c-5b6d-4115-baeb-7ada59d69f6f} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_specialFullyCharged
{7b9b4e42-102f-458f-bb3d-7f8c68a04675} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_threeTwoOneGo
{dbdd4a89-412e-4ea4-9520-e1378bfab025} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_timeUp
{02b849d1-13f6-4480-b39a-803fc6b97d00} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_uHaveBeenStinkied
{7988f75d-81c9-46a2-a631-318231dcf01e} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_youLose
{7dc7693c-4f52-483c-b3d7-2ce2ded5b7dd} event:/SoundFX/Miscellaneous/UI/HUD/SFX_HUD_youWin
{07e5b846-d1d4-4237-8988-e3b6c9afe560} parameter:/characters/Dorothy/rangedWeapon_equipped
{3e14a0ef-dc48-4756-b86c-2cd207564c04} parameter:/characters/dialogue/typewriter_characterIndex
{a7aac520-646d-458a-ba58-56e7fa4de4e3} parameter:/characters/enemies/dustBunny/isVariation
{e0d5bd74-a7f2-4b4e-8572-cf7a3a59bcb6} parameter:/characters/enemies/oozer/isBabe
{b3feba98-2cd6-4d29-a054-4368e1ea04b0} parameter:/music/combatTracks/isDorothy_dirty
{2522f593-76e4-49fd-97f4-20cdab828867} parameter:/music/combatTracks/isGame_paused
{fff34784-f048-4a7f-b32c-91acbe17c911} parameter:/music/combatTracks/isRoom_dirty
{6f46922e-3244-46cc-9473-be1f1ad4c379} parameter:/music/combatTracks/isTime_runningOut
{c6ab1ec8-153a-4585-af14-b9ec9484d155} parameter:/weapons/dirtminator/loopStop_dirtminatorCleanup
{61929ad2-fbb0-4068-9a4f-e53408e95f82} parameter:/weapons/dirtminator/loopStop_dirtminatorSpecial
{8fe2d368-726f-43c4-abc9-264f35b2fca5} parameter:/weapons/dirtminator/shotTier
{05f1de73-17bf-4ea9-bc38-42743916ba01} parameter:/weapons/dusty/isArmored
{c74ebf45-beed-4c2f-b469-429566f0c991} parameter:/weapons/dusty/isPunch
{341da5a1-8607-4973-a29a-49702ff02a3c} parameter:/weapons/dusty/loopStop_dustySpecial
{a4c9c6fd-80a0-4df5-b58a-448205a281b9} parameter:/weapons/moppressor/leftRightSwing
