---,RoomID,RoomSize,RoomWeight,DoorPoints,RoomType,RoomTheme,RoomState,RoomLevelInstance
L3_002,"32","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=2400.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=1600.000000,Z=3.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L3_Rooms/L_Mini_L3_002.L_Mini_L3_002"
L3_003,"33","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=2400.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=1600.000000,Z=3.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","KITCHEN","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L3_Rooms/L_Mini_L3_003.L_Mini_L3_003"
L3_004,"34","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=2400.000000,Y=1600.000000,Z=3.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","BATHROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L3_Rooms/L_Mini_L3_004.L_Mini_L3_004"
L3_005,"35","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=3200.000000,Y=800.000000,Z=2.000000),(X=2400.000000,Y=1600.000000,Z=3.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BATHROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L3_Rooms/L_Mini_L3_005.L_Mini_L3_005"
L3_006,"36","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","CORRIDOR","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L3_Rooms/L_Mini_L3_006.L_Mini_L3_006"
L3_007,"37","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=1600.000000,Z=3.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L3_Rooms/L_Mini_L3_007.L_Mini_L3_007"
L3_008,"38","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=3200.000000,Y=800.000000,Z=2.000000),(X=2400.000000,Y=1600.000000,Z=3.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L3_Rooms/L_Mini_L3_008.L_Mini_L3_008"
L3_009,"39","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L3_Rooms/L_Mini_L3_009.L_Mini_L3_009"
L4_001,"41","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","KITCHEN","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L4_Rooms/L_Mini_L4_001.L_Mini_L4_001"
L4_002,"42","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=2400.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L4_Rooms/L_Mini_L4_002.L_Mini_L4_002"
L4_003,"43","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=4000.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L4_Rooms/L_Mini_L4_003.L_Mini_L4_003"
L4_004,"44","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=2400.000000,Y=1600.000000,Z=3.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=4000.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","CORRIDOR","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L4_Rooms/L_Mini_L4_004.L_Mini_L4_004"
L4_005,"45","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=2400.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=1600.000000,Y=4000.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L4_Rooms/L_Mini_L4_005.L_Mini_L4_005"
L4_006,"46","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=1600.000000,Y=2400.000000,Z=2.000000),(X=1600.000000,Y=4000.000000,Z=2.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/L4_Rooms/L_Mini_L4_006.L_Mini_L4_006"
S_001,"51","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=3200.000000,Y=4000.000000,Z=2.000000),(X=2400.000000,Y=4800.000000,Z=3.000000),(X=1600.000000,Y=4000.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/S_Rooms/L_Mini_S_001.L_Mini_S_001"
S_002,"52","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=2400.000000,Y=1600.000000,Z=1.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=3200.000000,Y=4000.000000,Z=2.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","CORRIDOR","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/S_Rooms/L_Mini_S_002.L_Mini_S_002"
S_003,"53","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=2400.000000,Y=1600.000000,Z=1.000000),(X=2400.000000,Y=4800.000000,Z=3.000000),(X=1600.000000,Y=4000.000000,Z=4.000000),(X=600.000000,Y=3200.000000,Z=3.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/S_Rooms/L_Mini_S_003.L_Mini_S_003"
S_004,"54","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=2400.000000,Y=4800.000000,Z=3.000000),(X=1600.000000,Y=4000.000000,Z=4.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","KITCHEN","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/S_Rooms/L_Mini_S_004.L_Mini_S_004"
S_005,"55","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=1600.000000,Z=1.000000),(X=3200.000000,Y=4000.000000,Z=2.000000),(X=2400.000000,Y=4800.000000,Z=3.000000),(X=600.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=800.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/S_Rooms/L_Mini_S_005.L_Mini_S_005"
T_001,"61","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=2400.000000,Y=1600.000000,Z=1.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=1600.000000,Y=4000.000000,Z=2.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/T_Rooms/L_Mini_T_001.L_Mini_T_001"
T_002,"62","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=1600.000000,Y=800.000000,Z=2.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=2400.000000,Y=3200.000000,Z=3.000000),(X=1600.000000,Y=4000.000000,Z=2.000000),(X=0.000000,Y=4000.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/T_Rooms/L_Mini_T_002.L_Mini_T_002"
T_003,"63","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=1600.000000,Y=800.000000,Z=2.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=1600.000000,Y=4000.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","CORRIDOR","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/T_Rooms/L_Mini_T_003.L_Mini_T_003"
T_004,"64","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=1600.000000,Z=1.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=4000.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","KITCHEN","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/T_Rooms/L_Mini_T_004.L_Mini_T_004"
T_005,"65","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=1600.000000,Z=1.000000),(X=2400.000000,Y=3200.000000,Z=3.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=4000.000000,Z=4.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","BATHROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/T_Rooms/L_Mini_T_005.L_Mini_T_005"
T_006,"66","(X=3200.000000,Y=4800.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=800.000000,Y=4800.000000,Z=3.000000),(X=0.000000,Y=4000.000000,Z=4.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/T_Rooms/L_Mini_T_006.L_Mini_T_006"
Q4_001,"71","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=3200.000000,Z=3.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Quad4_Rooms/L_Mini_Q4_001.L_Mini_Q4_001"
Q4_002,"72","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=2400.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=2400.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","LIVINGROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Quad4_Rooms/L_Mini_Q4_002.L_Mini_Q4_002"
Q4_003,"73","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=800.000000,Y=0.000000,Z=1.000000),(X=2400.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=2400.000000,Y=3200.000000,Z=3.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000))","CORRIDOR","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Quad4_Rooms/L_Mini_Q4_003.L_Mini_Q4_003"
Q4_004,"74","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=3200.000000,Y=800.000000,Z=2.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=2400.000000,Y=3200.000000,Z=3.000000),(X=800.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","BEDROOM","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Quad4_Rooms/L_Mini_Q4_004.L_Mini_Q4_004"
Q4_005,"75","(X=3200.000000,Y=3200.000000,Z=50.000000)","1.000000","((X=2400.000000,Y=0.000000,Z=1.000000),(X=3200.000000,Y=800.000000,Z=2.000000),(X=3200.000000,Y=2400.000000,Z=2.000000),(X=1200.000000,Y=3200.000000,Z=3.000000),(X=0.000000,Y=2400.000000,Z=4.000000),(X=0.000000,Y=800.000000,Z=4.000000))","KITCHEN","BLUE","TOPLACED","/Game/Maps/LevelInstances/ProceduralTesting/MinimalRooms/Quad4_Rooms/L_Mini_Q4_005.L_Mini_Q4_005"
